display_name_kor,suggestion_message
외침,주변에 위험 상황이 있는지 주의를 기울이세요.
고함,위급 상황일 수 있으니 주변 사람을 확인하세요.
짖는 소리,근처에 동물이 있으니 조심히 이동하세요.
멍멍,반려견에 주의해 주세요.
탈것,주변에 차량이 접근 중일 수 있습니다.
차량,도로 주변일 수 있으니 주변을 둘러보세요.
자동차,차량 접근 가능성이 있으니 도로 진입을 피하세요.
타이어 끌림,차량 정지 또는 회피 상황일 수 있으니 주의하세요.
자동차,차량 주변에서 이동 시 주의해 주세요.
자동차,자동차가 접근할 수 있으니 멈춰서 확인하세요.
트럭,대형 차량 접근이 감지되었습니다. 안전 거리를 유지하세요.
버스,대형 차량이 접근 중일 수 있습니다. 주변을 확인하세요.
긴급 차량,구급차나 경찰차 접근 중일 수 있으니 주변을 피하세요.
오토바이,빠르게 움직이는 차량에 주의하세요.
기차,철도 주변일 수 있으니 선로에 가까이 가지 마세요.
기차 기적,열차 접근 신호일 수 있습니다. 선로에서 떨어지세요.
기차 경적,열차가 근처를 지나는 중일 수 있습니다. 멈춰서 확인하세요.
열차,기차 접근 중일 수 있으니 이동을 멈추고 주변을 살피세요.
기차 바퀴 끼익 소리,열차가 정차하거나 출발할 수 있습니다. 주변을 주의하세요.
자전거,조용히 접근하는 자전거에 주의하세요.
전기톱,위험한 장비 소리입니다. 해당 구역에서 유의하세요.
공회전,차량이 대기 중일 수 있습니다. 가까이 가지 마세요.
차량 가속음,차량이 빠르게 접근할 수 있으니 길을 피해 주세요.
경적,차량이 경고음을 낸 것입니다. 즉시 주변을 확인하세요.
호루라기,주의를 환기하는 신호일 수 있으니 주변을 살피세요.
경적,급정거나 위험 상황일 수 있습니다. 멈추고 주변을 확인하세요.
망치질,공사 중일 수 있습니다. 낙하물이나 장비에 주의하세요.
쿵 소리,큰 충격음이 감지되었습니다. 사고 가능성에 대비하세요.
